30;Capacity(W);Input Power(W);Flow Rate(kg/h);Current(A);;;60;Capacity(W);Input Power(W);Flow Rate(kg/h);Current(A);;;100;Capacity(W);Input Power(W);Flow Rate(kg/h);Current(A);;;120;Capacity(W);Input Power(W);Flow Rate(kg/h);Current(A)
P1;17965.17094;823.1455177;195.8558664;4.462398019;;;P1;35315.85859;2204.296814;403.6891997;7.042191142;;;P1;64656.93085;5375.48174;672.7878788;12.06697747;;;P1;79327.46698;7530.924145;807.3372183;15.25868298
P2;529.5057828;-25.59210057;6.635781145;-0.118736113;;;P2;991.8907848;-39.5110101;13.28316887;-0.129431184;;;P2;1795.159824;1.649905465;21.80291349;0.003823569;;;P2;2196.794343;47.82441822;26.06278581;0.133671594
P3;-36.17873908;28.1016722;0.045115995;0.125424385;;;P3;-28.00844063;54.29281829;-0.442732268;0.192663448;;;P3;-254.4859169;52.54085267;-0.951941577;0.148151293;;;P3;-367.724655;35.94765824;-1.206546232;0.068396257
P4;6.54461927;-0.748888889;0.082303807;-0.00409391;;;P4;14.07959596;-1.344459984;0.169970474;-0.004386946;;;P4;19.35045843;-1.068593629;0.287878788;-0.002049728;;;P4;21.98588967;-0.472105672;0.346832945;0.000287995
P5;-1.527733766;0.393767045;-0.005839448;0.001268797;;;P5;0.205224026;0.621243506;-0.006522727;0.001880649;;;P5;-5.13162013;-0.076340909;-0.016107792;-0.000271558;;;P5;-7.800042208;-0.854084416;-0.020900325;-0.002619667
P6;-0.457219517;0.72546503;-0.008265693;0.00798309;;;P6;-0.657016595;1.259469697;-0.002012987;0.003797619;;;P6;1.462445887;2.600090188;0.000753968;0.003440476;;;P6;2.522177128;3.539806548;0.002137446;0.005500541
P7;0.062247475;-0.004251408;0.000789562;-3.48129E-05;;;P7;0.115765346;-0.005656566;0.001547527;-1.90106E-05;;;P7;0.083773634;-0.013021238;0.002155659;-2.55892E-05;;;P7;0.067777778;-0.019056915;0.002459725;-4.07278E-05
P8;-0.025909923;0.009510136;0.000131369;4.10739E-05;;;P8;-0.079995338;0.017302031;0.000224176;5.49451E-05;;;P8;-0.089202797;-0.001141525;2.3976E-05;-1.0989E-05;;;P8;-0.093806527;-0.022720196;-7.61239E-05;-8.01399E-05
P9;-0.003448052;0.000596591;2.93019E-05;1.1456E-05;;;P9;-0.044225649;0.003121753;2.27273E-06;1.35714E-05;;;P9;-0.022816558;0.009329545;2.66234E-05;2.31818E-05;;;P9;-0.012112013;0.013650974;3.87987E-05;3.08969E-05
P10;-0.000166246;0.000355903;3.34596E-05;-2.52999E-05;;;P10;-0.0078367;0.000542929;-2.27273E-05;2.09596E-05;;;P10;-0.018421717;-0.000143098;-2.3569E-05;4.06566E-05;;;P10;-0.023714226;-0.000886995;-2.39899E-05;3.25126E-05
