;qV;pfs;Ped;n;LwAout;LwAin;I;nom Lst;eta
1;33630;0;1563;980;80;79;2,50;0;0
2;29845;80;1938;980;77;76;3,04;663.2222222;0.342219929
3;25915;150;2245;980;77;77;3,49;1079.791667;0.480976244
4;20280;220;2550;980;82;82;3,90;1239.333333;0.486013072
5;29025;0;1004;850;76;75;1,60;0;0
6;25820;61;1255;850;74;73;1,97;437.5055556;0.348610004
7;22440;112;1457;850;74;73;2,27;698.1333333;0.479158087
8;17560;165;1663;850;79;78;2,57;804.8333333;0.483964722
9;23900;0;561;700;71;70;0,90;0;0
10;21260;41;701;700;69;68;1,10;242.1277778;0.345403392
11;18480;76;814;700;69;68;1,27;390.1333333;0.479279279
12;14460;112;929;700;74;74;1,44;449.8666667;0.484248296
13;18780;0;272;550;65;64;0,43;0;0
14;16705;26;340;550;63;62;0,53;120.6472222;0.354844771
15;14520;47;395;550;63;62;0,61;189.5666667;0.479915612
16;11360;69;451;550;68;67;0,70;217.7333333;0.48277901
