50;Capacity(W);Input Power(W);Flow Rate(kg/h);Current(A);Discharge T;;;cooling capacity;;;;
P1;42844.06047;-1047.359635;403.3694084;12.20874215;999;;8357.728268;134193.163;142550.8913;;0.714437007;2571.973225
P2;1325.289374;-168.864852;12.31275593;0.064800024;999;;-101.704765;5310.925845;5209.22108;;0.025395681;91.4244516
P3;225.468576;410.750443;0.971356565;0.100717269;999;;361.6881502;-936.5815878;-574.8934375;;-4.60E-05;-0.16546428
P4;16.858332;-2.365059;0.139707803;-0.000474969;999;;-4.556440748;81.85200855;77.29556781;;0.000354437;1.2759732
P5;-0.554372;6.689707;0.021570833;-0.000736734;999;;7.573393252;-34.01231536;-26.4389221;;1.10E-06;0.003961224
P6;-8.88746;-5.942208;-0.021378042;-0.000204987;999;;-2.228006317;-2.691293578;-4.919299895;;-8.89E-06;-0.032009508
P7;0.08037133;-0.00615177;0.000637906;-1.61E-05;999;;-0.056659983;0.459442193;0.40278221;;2.19E-06;0.007880148
P8;-0.0761078;0.0309442;-1.5961E-05;-1.54E-05;999;;0.115992215;-0.468018497;-0.352026282;;-1.80E-07;-0.00064651
P9;-0.0908727;-0.0439233;-0.000363989;3.35E-05;999;;-0.071398016;-0.05952344;-0.130921456;;-1.69E-07;-0.000608814
P10;0.05508877;0.045403;2.54E-05;2.18E-05;999;;0.059477447;0.007282958;0.066760405;;-2.60E-08;-9.37E-05
