58;Capacity(W);Input Power(W);Flow Rate(kg/h);Current(A);Discharge T;;;cooling capacity;;;;
P1;142550.8913;8357.728268;2571.973226;30.46320557;23.38110238;;8357.728268;134193.163;142550.8913;;0.714437007;2571.973225
P2;5209.22108;-101.704765;91.42445188;0.025318911;0.17670514;;-101.704765;5310.925845;5209.22108;;0.025395681;91.4244516
P3;-574.8934375;361.6881502;-0.165464385;0.121469838;0.72382788;;361.6881502;-936.5815878;-574.8934375;;-4.60E-05;-0.16546428
P4;77.29556781;-4.556440748;1.275974338;0.000836924;0.00623357;;-4.556440748;81.85200855;77.29556781;;0.000354437;1.2759732
P5;-26.4389221;7.573393252;0.003961227;0.001154211;0.000260375;;7.573393252;-34.01231536;-26.4389221;;1.10E-06;0.003961224
P6;-4.919299895;-2.228006317;-0.032009504;0.002785583;-0.002866223;;-2.228006317;-2.691293578;-4.919299895;;-8.89E-06;-0.032009508
P7;0.40278221;-0.056659983;0.007880132;7.92E-05;-0.000507464;;-0.056659983;0.459442193;0.40278221;;2.19E-06;0.007880148
P8;-0.352026282;0.115992215;-0.00064651;9.93E-06;0.000504746;;0.115992215;-0.468018497;-0.352026282;;-1.80E-07;-0.00064651
P9;-0.130921456;-0.071398016;-0.000608815;-1.34E-06;-0.00033323;;-0.071398016;-0.05952344;-0.130921456;;-1.69E-07;-0.000608814
P10;0.066760405;0.059477447;-9.37E-05;5.75E-05;0.000111303;;0.059477447;0.007282958;0.066760405;;-2.60E-08;-9.36846E-05
